src_idx,tgt_idx,weight
72,21,30617.825260000016
32,64,44.4263
56,56,131499.160778
51,56,3671.0440900000012
15,73,562.44694
56,55,250.95231
21,21,304207.5055419982
51,55,32.50022
71,56,4800.546549999998
25,56,438.93432999999993
56,51,5236.920819999998
70,25,4088.3522999999996
59,56,385.4322300000001
70,72,21162.470680000002
25,32,160.07870000000003
32,11,1072.2364599999996
25,70,5357.7596699999995
72,70,23485.592790000002
56,59,572.8096
11,21,1133.6934199999998
56,71,6687.8072299999985
64,56,4104.523550000001
21,11,3432.2015300000025
73,56,2161.4619599999996
56,73,3788.1054499999996
59,55,22.4681
64,70,211.8905
56,25,270.05492000000004
56,64,4307.82028
64,59,4563.703869999998
65,19,16534.937899999986
65,72,904.4233099999999
0,25,2340.6145100000003
9,25,7939.201100000006
11,32,899.6920800000001
56,72,243.3002
19,71,4060.4973999999997
32,10,1660.25395
70,64,77.7502
70,71,4098.767910000001
0,73,2710.980220000001
59,64,3515.5111699999984
73,0,1096.5935599999998
10,32,1114.9687300000003
25,9,9517.166790000001
19,19,172346.84745699997
71,19,3352.299279999998
19,65,2792.24218
25,0,810.4288600000001
71,12,44526.25415000004
70,12,16829.51055000004
35,54,4101.385440000002
12,12,2845527.2125050267
72,56,20.6707
71,52,2198.81734
15,32,91.15299999999999
12,70,11343.163680000003
54,54,298976.5091119987
54,35,784.15443
19,52,14521.024460000002
71,54,1924.9800299999997
12,71,16218.238540000002
52,52,70565.78219199982
5,72,666.5819999999999
52,71,1662.59178
0,54,13552.466299999998
72,16,36840.732550000015
52,19,3348.8198999999986
73,16,9097.005260000002
16,73,2601.879019999999
16,16,1311647.8581440125
72,10,10458.012520000002
21,10,7852.282699999998
31,8,3089.1421699999987
72,8,4573.686720000002
16,72,30523.45137000001
16,32,4346.841529999999
31,16,4856.0653900000025
54,0,4878.633500000001
32,16,4715.3352399999985
73,9,221.62123000000003
32,15,58.9127
10,21,4543.072450000003
10,72,9788.28836
54,71,2387.535309999999
71,16,24577.17654000006
72,65,821.4294099999998
8,8,51721.96260799991
16,71,20492.474230000003
70,16,6329.410389999999
16,70,2649.7598700000003
25,16,299.27819999999997
8,73,679.91309
32,8,3523.6849499999994
73,49,449.99955
9,49,69.3543
49,49,160118.37377999962
73,8,1235.8423499999997
8,32,2966.3960299999994
52,59,16688.29011000001
49,73,1558.20041
71,8,10209.712599999988
16,8,19779.007070000025
10,37,3408.858619999999
29,71,885.7148999999998
73,29,719.8
8,16,15205.49458999999
37,37,3069744.1701671015
71,29,3562.142390000001
8,31,4124.753759999998
59,52,3120.4760300000003
8,72,4548.642309999997
73,51,165.27
37,10,1647.918129999999
29,29,246473.95829799914
21,37,954.6055199999997
35,22,1863.51442
73,12,921.58772
49,72,1461.2896000000003
31,61,12137.924180000007
37,21,321.45912000000004
22,22,29830.16743999999
70,29,4860.912520000003
16,31,4103.987949999998
22,35,889.9730099999999
19,59,890.0576400000001
61,61,123389.64807499983
72,49,1253.8426100000004
31,24,3323.6538800000008
8,71,8609.007810000001
29,72,4792.3758
32,61,11455.17247
59,19,209.57032
